,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
51,Alkoholunfälle,insgesamt,2020,01,28.0
52,Alkoholunfälle,insgesamt,2020,02,40.0
53,Alkoholunfälle,insgesamt,2020,03,27.0
54,Alkoholunfälle,insgesamt,2020,04,26.0
55,Alkoholunfälle,insgesamt,2020,05,40.0
56,Alkoholunfälle,insgesamt,2020,06,49.0
57,Alkoholunfälle,insgesamt,2020,07,58.0
58,Alkoholunfälle,insgesamt,2020,08,46.0
59,Alkoholunfälle,insgesamt,2020,09,46.0
60,Alkoholunfälle,insgesamt,2020,10,34.0
61,Alkoholunfälle,insgesamt,2020,11,23.0
62,Alkoholunfälle,insgesamt,2020,12,13.0
64,Alkoholunfälle,insgesamt,2019,01,22.0
65,Alkoholunfälle,insgesamt,2019,02,28.0
66,Alkoholunfälle,insgesamt,2019,03,34.0
67,Alkoholunfälle,insgesamt,2019,04,36.0
68,Alkoholunfälle,insgesamt,2019,05,39.0
69,Alkoholunfälle,insgesamt,2019,06,40.0
70,Alkoholunfälle,insgesamt,2019,07,48.0
71,Alkoholunfälle,insgesamt,2019,08,31.0
72,Alkoholunfälle,insgesamt,2019,09,47.0
73,Alkoholunfälle,insgesamt,2019,10,45.0
74,Alkoholunfälle,insgesamt,2019,11,29.0
75,Alkoholunfälle,insgesamt,2019,12,35.0
77,Alkoholunfälle,insgesamt,2018,01,22.0
78,Alkoholunfälle,insgesamt,2018,02,24.0
79,Alkoholunfälle,insgesamt,2018,03,32.0
80,Alkoholunfälle,insgesamt,2018,04,25.0
81,Alkoholunfälle,insgesamt,2018,05,34.0
82,Alkoholunfälle,insgesamt,2018,06,39.0
83,Alkoholunfälle,insgesamt,2018,07,51.0
84,Alkoholunfälle,insgesamt,2018,08,40.0
85,Alkoholunfälle,insgesamt,2018,09,36.0
86,Alkoholunfälle,insgesamt,2018,10,43.0
87,Alkoholunfälle,insgesamt,2018,11,31.0
88,Alkoholunfälle,insgesamt,2018,12,21.0
90,Alkoholunfälle,insgesamt,2017,01,19.0
91,Alkoholunfälle,insgesamt,2017,02,22.0
92,Alkoholunfälle,insgesamt,2017,03,36.0
93,Alkoholunfälle,insgesamt,2017,04,26.0
94,Alkoholunfälle,insgesamt,2017,05,29.0
95,Alkoholunfälle,insgesamt,2017,06,41.0
96,Alkoholunfälle,insgesamt,2017,07,52.0
97,Alkoholunfälle,insgesamt,2017,08,30.0
98,Alkoholunfälle,insgesamt,2017,09,47.0
99,Alkoholunfälle,insgesamt,2017,10,32.0
100,Alkoholunfälle,insgesamt,2017,11,33.0
101,Alkoholunfälle,insgesamt,2017,12,42.0
103,Alkoholunfälle,insgesamt,2016,01,21.0
104,Alkoholunfälle,insgesamt,2016,02,10.0
105,Alkoholunfälle,insgesamt,2016,03,20.0
106,Alkoholunfälle,insgesamt,2016,04,27.0
107,Alkoholunfälle,insgesamt,2016,05,25.0
108,Alkoholunfälle,insgesamt,2016,06,30.0
109,Alkoholunfälle,insgesamt,2016,07,35.0
110,Alkoholunfälle,insgesamt,2016,08,34.0
111,Alkoholunfälle,insgesamt,2016,09,29.0
112,Alkoholunfälle,insgesamt,2016,10,30.0
113,Alkoholunfälle,insgesamt,2016,11,20.0
114,Alkoholunfälle,insgesamt,2016,12,20.0
116,Alkoholunfälle,insgesamt,2015,01,22.0
117,Alkoholunfälle,insgesamt,2015,02,23.0
118,Alkoholunfälle,insgesamt,2015,03,23.0
119,Alkoholunfälle,insgesamt,2015,04,29.0
120,Alkoholunfälle,insgesamt,2015,05,50.0
121,Alkoholunfälle,insgesamt,2015,06,39.0
122,Alkoholunfälle,insgesamt,2015,07,49.0
123,Alkoholunfälle,insgesamt,2015,08,49.0
124,Alkoholunfälle,insgesamt,2015,09,45.0
125,Alkoholunfälle,insgesamt,2015,10,25.0
126,Alkoholunfälle,insgesamt,2015,11,30.0
127,Alkoholunfälle,insgesamt,2015,12,27.0
129,Alkoholunfälle,insgesamt,2014,01,21.0
130,Alkoholunfälle,insgesamt,2014,02,17.0
131,Alkoholunfälle,insgesamt,2014,03,37.0
132,Alkoholunfälle,insgesamt,2014,04,35.0
133,Alkoholunfälle,insgesamt,2014,05,28.0
134,Alkoholunfälle,insgesamt,2014,06,31.0
135,Alkoholunfälle,insgesamt,2014,07,35.0
136,Alkoholunfälle,insgesamt,2014,08,32.0
137,Alkoholunfälle,insgesamt,2014,09,43.0
138,Alkoholunfälle,insgesamt,2014,10,36.0
139,Alkoholunfälle,insgesamt,2014,11,42.0
140,Alkoholunfälle,insgesamt,2014,12,25.0
142,Alkoholunfälle,insgesamt,2013,01,17.0
143,Alkoholunfälle,insgesamt,2013,02,15.0
144,Alkoholunfälle,insgesamt,2013,03,21.0
145,Alkoholunfälle,insgesamt,2013,04,28.0
146,Alkoholunfälle,insgesamt,2013,05,33.0
147,Alkoholunfälle,insgesamt,2013,06,37.0
148,Alkoholunfälle,insgesamt,2013,07,42.0
149,Alkoholunfälle,insgesamt,2013,08,39.0
150,Alkoholunfälle,insgesamt,2013,09,47.0
151,Alkoholunfälle,insgesamt,2013,10,31.0
152,Alkoholunfälle,insgesamt,2013,11,35.0
153,Alkoholunfälle,insgesamt,2013,12,32.0
155,Alkoholunfälle,insgesamt,2012,01,21.0
156,Alkoholunfälle,insgesamt,2012,02,18.0
157,Alkoholunfälle,insgesamt,2012,03,21.0
158,Alkoholunfälle,insgesamt,2012,04,34.0
159,Alkoholunfälle,insgesamt,2012,05,54.0
160,Alkoholunfälle,insgesamt,2012,06,43.0
161,Alkoholunfälle,insgesamt,2012,07,56.0
162,Alkoholunfälle,insgesamt,2012,08,55.0
163,Alkoholunfälle,insgesamt,2012,09,49.0
164,Alkoholunfälle,insgesamt,2012,10,32.0
165,Alkoholunfälle,insgesamt,2012,11,30.0
166,Alkoholunfälle,insgesamt,2012,12,27.0
168,Alkoholunfälle,insgesamt,2011,01,25.0
169,Alkoholunfälle,insgesamt,2011,02,25.0
170,Alkoholunfälle,insgesamt,2011,03,22.0
171,Alkoholunfälle,insgesamt,2011,04,43.0
172,Alkoholunfälle,insgesamt,2011,05,43.0
173,Alkoholunfälle,insgesamt,2011,06,27.0
174,Alkoholunfälle,insgesamt,2011,07,39.0
175,Alkoholunfälle,insgesamt,2011,08,34.0
176,Alkoholunfälle,insgesamt,2011,09,36.0
177,Alkoholunfälle,insgesamt,2011,10,26.0
178,Alkoholunfälle,insgesamt,2011,11,40.0
179,Alkoholunfälle,insgesamt,2011,12,37.0
181,Alkoholunfälle,insgesamt,2010,01,19.0
182,Alkoholunfälle,insgesamt,2010,02,23.0
183,Alkoholunfälle,insgesamt,2010,03,31.0
184,Alkoholunfälle,insgesamt,2010,04,33.0
185,Alkoholunfälle,insgesamt,2010,05,34.0
186,Alkoholunfälle,insgesamt,2010,06,39.0
187,Alkoholunfälle,insgesamt,2010,07,48.0
188,Alkoholunfälle,insgesamt,2010,08,40.0
189,Alkoholunfälle,insgesamt,2010,09,54.0
190,Alkoholunfälle,insgesamt,2010,10,27.0
191,Alkoholunfälle,insgesamt,2010,11,28.0
192,Alkoholunfälle,insgesamt,2010,12,26.0
194,Alkoholunfälle,insgesamt,2009,01,23.0
195,Alkoholunfälle,insgesamt,2009,02,32.0
196,Alkoholunfälle,insgesamt,2009,03,14.0
197,Alkoholunfälle,insgesamt,2009,04,45.0
198,Alkoholunfälle,insgesamt,2009,05,57.0
199,Alkoholunfälle,insgesamt,2009,06,31.0
200,Alkoholunfälle,insgesamt,2009,07,44.0
201,Alkoholunfälle,insgesamt,2009,08,35.0
202,Alkoholunfälle,insgesamt,2009,09,49.0
203,Alkoholunfälle,insgesamt,2009,10,35.0
204,Alkoholunfälle,insgesamt,2009,11,31.0
205,Alkoholunfälle,insgesamt,2009,12,34.0
207,Alkoholunfälle,insgesamt,2008,01,32.0
208,Alkoholunfälle,insgesamt,2008,02,30.0
209,Alkoholunfälle,insgesamt,2008,03,30.0
210,Alkoholunfälle,insgesamt,2008,04,25.0
211,Alkoholunfälle,insgesamt,2008,05,57.0
212,Alkoholunfälle,insgesamt,2008,06,56.0
213,Alkoholunfälle,insgesamt,2008,07,52.0
214,Alkoholunfälle,insgesamt,2008,08,44.0
215,Alkoholunfälle,insgesamt,2008,09,49.0
216,Alkoholunfälle,insgesamt,2008,10,45.0
217,Alkoholunfälle,insgesamt,2008,11,27.0
218,Alkoholunfälle,insgesamt,2008,12,35.0
220,Alkoholunfälle,insgesamt,2007,01,36.0
221,Alkoholunfälle,insgesamt,2007,02,32.0
222,Alkoholunfälle,insgesamt,2007,03,38.0
223,Alkoholunfälle,insgesamt,2007,04,49.0
224,Alkoholunfälle,insgesamt,2007,05,63.0
225,Alkoholunfälle,insgesamt,2007,06,51.0
226,Alkoholunfälle,insgesamt,2007,07,65.0
227,Alkoholunfälle,insgesamt,2007,08,44.0
228,Alkoholunfälle,insgesamt,2007,09,54.0
229,Alkoholunfälle,insgesamt,2007,10,55.0
230,Alkoholunfälle,insgesamt,2007,11,36.0
231,Alkoholunfälle,insgesamt,2007,12,37.0
233,Alkoholunfälle,insgesamt,2006,01,44.0
234,Alkoholunfälle,insgesamt,2006,02,50.0
235,Alkoholunfälle,insgesamt,2006,03,40.0
236,Alkoholunfälle,insgesamt,2006,04,40.0
237,Alkoholunfälle,insgesamt,2006,05,53.0
238,Alkoholunfälle,insgesamt,2006,06,51.0
239,Alkoholunfälle,insgesamt,2006,07,64.0
240,Alkoholunfälle,insgesamt,2006,08,48.0
241,Alkoholunfälle,insgesamt,2006,09,64.0
242,Alkoholunfälle,insgesamt,2006,10,45.0
243,Alkoholunfälle,insgesamt,2006,11,48.0
